word,category,sentence
カーカー,sound,鳴き声は 「 カーカー 」 と 澄ん で おり 、 ここ でも ハシボソガラス （ 少々 濁る ） と 判別 できる 。
ガーガー,sound,メス の 鳴き声 は マガモ の よう に 「 ガーガー 」 で ある 。
ギャーギャー,sound,ドラマ や 映画 など 演技 の 上 で は 、 落ち着い た 感じ で 実際 の 年齢 より 大人び た 印象 を 受ける が 、 普段 は 「 ギャーギャー 騒い だり し て い ます 」 と 本人 が 雑誌 の インタビュー など で 語っ て いる 。
グーグー,sound,人工 的 に 珪砂 を 洗浄 し 続ける と 沸騰 する よう に 水 は 熱く なり 容器 内 で グーグー と 鳴り 始める 。
ゲラゲラ,sound,そして ゲラゲラ 笑う の です 。
ゲロゲロ,sound,"例 として 、 ペット の フリッツ の 体 色 を 決定 する こと を 目標 と し 、 鳴く こと （ 訳注 : "" croak "" は ガーガー 、 ゲロゲロ 鳴く こと ） と ハエ を 食べる こと を 事実 と する 。"
ゴシゴシ,sound,洗顔 や スキン ケア 、 マッサージ など で 顔 を ゴシゴシ し ない よう に 注意 し た ほう が よい 。
ザーザー,sound,ウェザーニューズ の 携帯 電話 向け 気象 情報 サービス の 利用 者 から 募集 さ れ た 参加 者 が 、 屋外 に 置い た ビーカー 、 計量 カップ 等 を 使っ て 毎日 の 降水 量 を 観測 し て その 結果 を 同社 携帯 サイト を通じて 報告 し 、 あわせ て 、 リトマス試験紙 による 酸性 度 の 測定 結果 の 報告 や 、 体感 し た 雨 の 降り 方 （ ザーザー 、 シトシト など ） や 降雨 の 生活 行動 へ の 影響 （ レインコート の 要 否 など ） について の 電子 メール による アンケート へ の 回答 を 行う こと により 、 全国 規模 で 雨 の 状況 が 多角 的 に 把握 さ れる という もの で ある 。0
ざわざわ,sound,しばしば 倍音 を 補う ため に アルピコルドゥム という 金属 片 によって ざわざわ し た 音 を 付加 する 装置 が テノール から バス の 音域 に 付け られる 。
モー,sound,鳴き声 は 牛 に やや 似 た 声 で 「 モー 」 と 鳴く 。
ウー,sound,ウー と 、 ゴモラ の 戦闘 中 に バル タン の 鳴く 声 が 流れる 。
チリンチリン,sound,チリンチリン と 短い 音 が する 。
チクタク,sound,「 チクタク 」 と 聞こえる 時計 の 音 は 、 アンクル の ツメ が 雁木 車 に 掛かる 際 の 衝撃 音 で ある 。
ドカン,sound,大砲 の 砲 口 部 を 模 し た 筒 状 で 、 手 に はめ て 「 ドカン 」 と 言う と 空気 の 衝撃波 が 発射 さ れる 。
バシャバシャ,sound,エバンス の 泳ぎ は 、 腕 を まっすぐ に し て 風車 の よう に ぐるぐる 回し 、 水しぶき を バシャバシャ と 立てる 、 当時 の 正統 と は 程遠い 独特 の 泳ぎ で 、 モーター 泳法 と も 言わ れ た 。
ピッ,sound,「 チッ 」 「 ピッ 」 と 鳴く 。
ニャーニャー,sound,シャーリー は 深夜 の 大使館 の 庭 で 、 捨て られ た 子猫 が 哀れ っぽく ニャーニャー なく 声 を 聞い た 。
ブーブー,sound,ブーブー と ラッパ の よう な 音 が する こと から ラッパ と 称さ れる 。
わんわん,sound,杉田 に 「 お前 みたい な 奴 は 俺 の 列 機 に はいら ん 、 卑怯 者 、 そんなに 怖かっ たら 搭乗 員 やめろ 」 と 叱ら れ た ため 、 笠井 は どうして いい か わから ず 、 わんわん 泣い て 謝っ た と いう 。
ピンポン,sound,ピンポン ダッシュ と は 、 他人 の 家屋 の 呼び鈴 を 鳴らし て 逃げる いたずら で ある 。
パカパカ,sound,その ため 、 平ら で 固い 道路 を 歩く とき に パカパカ という 音 が 出る の で ある 。
ピーピー,sound,全長 1 メートル で 、 「 ピーピー 」 と 鳴く 。
パチパチ,sound,木 米 は 釜 の 温度 を 釜 の 中 の 燃える 火 から 発せ られる パチパチ という 音 で 判断 し て い た 。
ポキポキ,sound,関節 の 部位 によって 、 首 ポキ 、 指 ポキ 、 顎 ポキ など と 表現 さ れる こと が 多く 、 ポ キッ 、 ポキポキ 、 コキコキ 、 など 様々 な 擬音 語 で 表現 さ れる 。
プッ,sound,普段 の 鳴き声 は 「 プッ 、 プッ 」 と 電子 音 を 思わ せる 声 で ある 。
プチプチ,sound,また 、 オート レンジ 機能 により 流れる 電流 が 変化 する ため 、 スピーカー など に テスト リード を 当てる と レンジ の 切り替え に ともなっ て プチプチ という 音 が 聞こえる 。
コン,sound,身近 な 例 として は 、 全 自動 洗濯 機 や 食器 洗 機 など の 動作 中 に 行わ れる 給水 弁 の 自動 開閉 で 発生 する コン という 音 が この 作用 による もの で ある 。
カチッ,sound,おもり （ 固定 錘 ） が つい た 振り子 の 腕 が 左右 に 振れる 都度 、 「 カチッ 」 という 音 が 出る よう に なっ て おり 、 この 音 によって 演奏 の テンポ を 合わせる 。
コンコン,sound,見た目 は とても 醜い が 、 ノッカー の よう に 「 コンコン 」 と 岩盤 を 叩く 音 を たて 、 鉱夫 達 に 良質 の 鉱脈 を 知らせ て くれる と いう 。
カタカタ,sound,ヨシキリ 属 に 典型 的 な 、 ゆっくり と カタカタ いう よう な 声 で 鳴く 。
ガタガタ,sound,高架 開通 まで の 西 塩釜 - 本 塩釜 は 単線 で 、 簡易 な 鉄橋 を ガタガタ 音 を 立て て 渡る 姿 が 見 られ た 。
ガシャガシャ,sound,会見 は 20 分 で 終わり ます から 」 と 述べ 、 鳴り響く シャッター 音 に対して は 「 ガシャガシャ 音 が うるさく て 話せ ない 。
グツグツ,sound,この 作品 について Allmusic は 「 グツグツ し た 釜 の よう な 音 」 と 称し 、 カナダ の 音楽 雑誌 Exclaim ! は 「 非常 に 攻撃 的 、 かつ メロディアス 」 だ と 述べ 、 また 音 や アート ワーク など に ジャズ から の 影響 について も 指摘 し た 。
シューシュー,sound,この 番組 の BGM の 多く が 『 シューシュー 言う 音 や ギシギシ いう 音 』 に 満ち て いる 理由 について 、 ウォード は 番組 の メイン 作曲 家 で ある ケイシー・ベイシッチス が アパート の 一室 に 海賊 船 を 建て その 中 に 住ん で おり 海賊 船 の 床板 の 軋み といった 様々 な 音 に 囲ま れ て 過ごし て いる から で ある と 話し て いる 。
ギシギシ,sound,ギシギシ と 音 を 立て 、 咬頭 に 異常 な 力 が 働く ので 、 歯 質 の 崩壊 を 招き やすい 。
バキバキ,sound,初め は それほど で も なかっ た が 、 時間 が 経過 する につれて 、 はっきり と し た 痛み を 感じる よう に なり 、 やがて 膝 から バキバキ と はっきり し た 音 が 聞こえ て くる よう に なっ た 。
